uk_region,postcode,latitude,longitude,region,population,energy (kcal),delta (kcal),% fat,% carbohydrate,% protein
West Midlands,ST12,52.94795,-2.17117,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST13,53.1009,-2.01793,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST14,52.90304,-1.86767,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST15,52.90033,-2.14719,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST16,52.81315,-2.11871,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST17,52.7889,-2.09936,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST18,52.81408,-2.08161,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST19,52.71243,-2.14656,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST2,53.02711,-2.1357,Stoke-on-Trent,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST20,52.79854,-2.26255,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST21,52.86777,-2.25851,Staffordshire,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
West Midlands,ST3,52.98037,-2.12214,Stoke-on-Trent,5961929,1949.254225,300.745775,38.22712592,47.77122051,13.91886185
