uk_region,postcode,latitude,longitude,region,population,energy (kcal),delta (kcal),% fat,% carbohydrate,% protein
South East England,SO45,50.84778,-1.3934,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO50,50.9689,-1.33912,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO51,50.994,-1.50407,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO52,50.97663,-1.44015,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SO53,50.98442,-1.38022,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South West England,SP1,51.074,-1.78873,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South East England,SP10,51.21065,-1.48314,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South East England,SP11,51.22696,-1.51303,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South West England,SP2,51.07406,-1.82441,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SP3,51.10117,-2.00571,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SP4,51.16479,-1.764,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SP5,51.02271,-1.77185,Wiltshire,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South East England,SP6,50.93553,-1.80074,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
South West England,SP7,51.0039,-2.18245,Dorset,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South West England,SP8,51.03696,-2.28956,Dorset,5659143,1978.154873,271.8451266,39.32470045,46.30731204,14.27217372
South East England,SP9,51.23018,-1.66053,Hampshire,9217265,1937.592601,312.4073994,38.78330869,46.97143917,14.12813902
North East England,SR1,54.90695,-1.37919,Sunderland,2680763,1903.043714,346.9562861,39.01172539,46.45885854,14.44586392
North East England,SR2,54.88716,-1.37638,Sunderland,2680763,1903.043714,346.9562861,39.01172539,46.45885854,14.44586392
